,Order Quantity,Unit Price,Discount,Sales,Profit,Customer Segment_Consumer,Customer Segment_Corporate,Customer Segment_Home Office,Customer Segment_Small Business,Customer Segment_nan
0,6,38.94,0.04,261.54,-213.25,0,0,0,1,0
1,49,208.16,0.07,10123.02,457.81,1,0,0,0,0
2,27,8.69,0.01,244.57,46.71,1,0,0,0,0
3,30,195.99,0.08,4965.7595,1198.97,0,1,0,0,0
4,19,21.78,0.08,394.27,30.94,1,0,0,0,0
5,21,6.64,0.05,146.69,4.43,1,0,0,0,0
6,12,7.3,0.03,93.54,-54.04,0,1,0,0,0
7,22,42.76,0.09,905.08,127.7,0,1,0,0,0
8,21,138.14,0.07,2781.82,-695.26,0,1,0,0,0
9,44,4.98,0.07,228.41,-226.36,0,0,1,0,0
10,45,4.28,0.01,196.85,-166.85,0,0,1,0,0
11,32,3.95,0.04,124.56,-14.33,0,0,1,0,0
12,32,21.78,0.0,716.84,134.72,0,0,1,0,0
13,31,47.98,0.04,1474.33,114.46,0,0,1,0,0
14,15,5.28,0.02,80.61,-4.72,0,0,0,1,0
15,46,39.89,0.03,1815.49,782.91,0,0,1,0,0
16,16,15.74,0.07,248.26,93.8,0,0,0,1,0
17,44,100.98,0.04,4462.23,440.72,0,0,1,0,0
18,11,71.37,0.25,663.784,-481.04,0,0,1,0,0
19,15,65.99,0.06,834.904,-11.68,0,1,0,0,0
20,18,155.99,0.01,2480.9205,313.58,0,1,0,0,0
21,13,3.69,0.1,59.03,26.92,1,0,0,0,0
22,21,4.71,0.05,97.48,-5.77,1,0,0,0,0
23,33,15.99,0.1,511.83,-172.88,0,1,0,0,0
24,38,4.89,0.05,184.99,-144.55,0,1,0,0,0
25,30,2.88,0.09,80.9,5.76,0,0,1,0,0
26,23,2.84,0.06,67.24,4.9,0,0,1,0,0
27,25,449.99,0.01,12028.23,-547.61,0,1,0,0,0
28,28,13.48,0.04,370.48,-5.45,1,0,0,0,0
29,49,6.08,0.08,278.0,41.67,0,0,0,1,0
30,10,5.98,0.01,66.54,-46.03,0,0,1,0,0
31,21,40.99,0.06,845.32,33.67,0,0,1,0,0
32,39,7.31,0.03,282.07,140.01,0,1,0,0,0
33,24,20.99,0.01,426.037,-78.96,0,1,0,0,0
34,27,40.96,0.08,1078.49,252.66,0,1,0,0,0
35,39,95.95,0.07,3554.46,-1766.01,0,1,0,0,0
36,47,3.89,0.0,191.67,-236.27,0,1,0,0,0
37,49,120.98,0.09,5586.33,80.44,0,1,0,0,0
38,18,30.98,0.1,507.64,118.94,0,1,0,0,0
39,30,500.98,0.09,14223.82,3424.22,1,0,0,0,0
40,5,7.84,0.06,42.66,-11.83,0,0,0,1,0
41,21,18.97,0.0,427.32,52.35,0,0,0,1,0
42,8,115.99,0.0,820.284,-180.2,0,1,0,0,0
43,5,2.88,0.01,14.76,1.32,0,1,0,0,0
44,9,4.48,0.06,89.55,-375.64,0,1,0,0,0
45,11,125.99,0.04,1210.0515,-104.25,0,0,1,0,0
46,50,3.75,0.03,187.83,85.96,0,0,1,0,0
47,3,12.28,0.07,49.59,-8.38,0,0,1,0,0
48,30,155.99,0.01,4253.009,1115.69,0,0,1,0,0
49,7,8.69,0.1,59.38,-3.05,0,0,1,0,0
50,42,31.78,0.1,1285.37,514.07,0,1,0,0,0
51,11,3.98,0.01,48.91,-7.04,0,1,0,0,0
52,22,5.88,0.05,129.62,4.41,0,1,0,0,0
53,12,9.65,0.09,118.97,-0.06,0,1,0,0,0
54,8,7.99,0.0,61.8715,-50.33,0,0,1,0,0
55,7,58.1,0.1,384.33,87.68,0,1,0,0,0
56,3,80.48,0.01,239.03,-68.22,0,1,0,0,0
57,44,92.23,0.08,3922.42,-354.9,0,0,1,0,0
58,25,85.99,0.07,1733.3625,-267.01,0,0,1,0,0
59,19,11.48,0.07,208.28,3.63,0,0,1,0,0
60,6,1637.53,0.04,9620.82,-1759.58,0,1,0,0,0
61,40,6.48,0.04,255.48,-116.79,0,1,0,0,0
62,18,6.48,0.04,130.32,-67.28,0,1,0,0,0
63,11,28.15,0.07,312.36,-19.33,0,1,0,0,0
64,41,4.98,0.01,217.0,-61.21,0,0,1,0,0
65,47,6.35,0.04,296.13,119.09,0,0,1,0,0
66,40,10.9,0.08,436.17,-141.27,1,0,0,0,0
67,18,7.3,0.05,136.29,-77.28,1,0,0,0,0
68,32,39.48,0.0,1311.25,407.44,0,1,0,0,0
69,5,100.98,0.09,544.41,-338.27,0,1,0,0,0
70,41,19.98,0.04,844.09,52.56,0,1,0,0,0
71,22,276.2,0.02,6396.2,1902.24,0,1,0,0,0
72,50,15.67,0.05,751.77,353.2,0,1,0,0,0
73,37,25.98,0.03,1003.06,271.78,1,0,0,0,0
74,4,300.98,0.04,1266.72,-268.36,0,1,0,0,0
75,19,19.98,0.07,368.04,70.39,0,0,0,1,0
76,24,6.48,0.1,152.6,-86.62,0,0,0,1,0
77,40,80.98,0.0,3338.98,-846.73,0,0,0,1,0
78,5,1.88,0.08,24.16,8.05,1,0,0,0,0
79,41,6.48,0.1,270.84,-78.02,1,0,0,0,0
80,35,102.3,0.08,3389.93,737.94,1,0,0,0,0
81,42,6.48,0.07,266.36,-191.28,1,0,0,0,0
82,46,1.89,0.01,89.41,-21.49,1,0,0,0,0
83,47,62.05,0.04,2799.7,884.08,0,1,0,0,0
84,7,279.48,0.04,2039.56,-329.49,0,1,0,0,0
85,36,320.98,0.02,12175.82,2825.15,0,0,1,0,0
86,5,18.97,0.1,101.21,2.13,0,0,1,0,0
87,32,48.91,0.02,1585.64,707.15,0,0,1,0,0
88,44,4.13,0.07,176.26,75.13,0,1,0,0,0
89,32,140.98,0.0,4655.07,-270.63,0,1,0,0,0
90,44,218.08,0.01,10087.6,3387.35,0,1,0,0,0
91,34,50.98,0.09,1608.08,-82.16,0,1,0,0,0
92,1,10.14,0.06,12.18,-3.88,0,0,0,1,0
93,50,15.99,0.01,820.52,-191.22,0,1,0,0,0
94,29,262.11,0.01,6250.936,31.21,0,1,0,0,0
95,25,33.98,0.09,854.88,-44.14,0,1,0,0,0
96,46,1.76,0.09,80.27,-0.79,0,1,0,0,0
97,15,19.84,0.0,308.54,76.42,0,1,0,0,0
98,20,19.98,0.05,400.57,93.36,0,0,0,1,0
99,14,95.99,0.04,1170.025,4.22,1,0,0,0,0
100,48,111.03,0.1,5188.86,395.12,0,0,0,1,0
101,8,43.41,0.05,339.81,79.59,0,1,0,0,0
102,15,105.34,0.09,1519.9,399.37,0,1,0,0,0
103,30,3.69,0.09,102.24,37.79,0,0,1,0,0
104,6,146.34,0.0,965.69,-144.2,0,1,0,0,0
105,25,15.22,0.0,397.84,-14.75,1,0,0,0,0
106,4,15.7,0.08,73.07,-41.01,0,1,0,0,0
107,26,179.29,0.05,4679.1,111.52,0,1,0,0,0
108,46,200.99,0.02,8009.5925,2332.4,0,0,1,0,0
109,23,194.3,0.01,4689.66,2176.19,0,0,1,0,0
110,25,120.97,0.04,3019.41,1269.05,0,1,0,0,0
111,5,5.81,0.07,36.86,-32.82,0,1,0,0,0
112,12,1938.02,0.06,22079.47,5322.14,0,1,0,0,0
